State,act_percent_students_tested,avg_act_composite_score,total_population,total_revenue,federal_source_revenue,state_source_revenue,local_source_revenue,total_federal_aid,outstanding_debt,per_pupil_salaries,per_pupil_employee_benefits,IEP_per_1000,youth_substance_use_per_100,sat_average_score,educational_attainment_bachelor_plus,educational_attainment_hs_plus,educational_attainment_advanced_degree_plus,school_lunches_num_students_enrolled,school_lunches_percent_students_free_lunch,local_educational_grants,perpupil_spending,adjusted_perpupil_spending
National,52,20.7,"328,239,523","751,685,991","57,872,283","350,912,374","342,901,334","4,713,527","495,075,741","7,498","3,299",,,,,,,"50,138,019",52.3,,"13,187",
Alabama,100,18.9,"4,903,185","8,425,767","867,947","4,703,782","2,854,038","20,053","5,976,798","5,632","2,249",2.02,3.961135797,"1,165",26.3,87.1,10.0,"738,485",55.2,"257,319,086","10,077",10386
Alaska,38,20.1,"731,545","2,557,462","391,955","1,599,899","565,608","192,858","1,125,194","8,675","5,105",5.93,6.539439208,"1,100",30.2,93.6,11.7,"130,905",48.0,"45,608,925","18,394",17872
Arizona,73,19,"7,278,717","9,639,764","1,239,441","4,084,645","4,315,678","221,337","5,865,161","5,157","1,674",7.31,4.769366312,"1,116",30.2,87.6,11.3,"994,358",53.7,"339,127,579","8,625",8335
Arkansas,100,19.3,"3,017,804","5,593,150","605,871","4,191,495","795,784","26,800","4,993,393","6,036","1,712",2.24,4.103869488,"1,208",23.3,87.5,8.3,"491,696",63.9,"157,130,991","10,388",11951
California,23,22.6,"39,512,223","96,041,050","8,162,989","54,106,131","33,771,930","506,890","82,645,844","7,804","4,066",4.36,4.625460574,"1,055",35.0,84.0,13.1,"6,171,073",59.4,"1,963,512,500","14,035",10281
Colorado,27,23.8,"5,758,736","12,234,647","712,669","5,258,398","6,263,580","89,477","10,537,237","6,748","2,341",6.90,5.597954012,"1,201",42.7,92.4,16.0,"911,339",40.8,"145,896,810","11,030",10053
Connecticut,22,25.5,"3,565,287","12,005,464","514,707","4,470,080","7,020,677","43,054","2,962,044","11,595","6,275",11.51,4.639595161,"1,042",39.8,90.7,17.8,"514,690",41.7,"131,134,581","21,310",17798
Delaware,13,24,"973,764","2,266,478","146,537","1,463,152","656,789",0,"612,539","8,664","4,735",8.32,4.321874967,995,33.2,90.3,13.7,"138,397",31.4,"52,113,722","16,315",15009
District of Columbia,32,23.5,"705,749","1,526,358","132,899",(X),"1,393,459","31,930",0,"15,361","3,024",12.78,5.143210752,989,59.7,91.9,34.0,"87,686",76.4,"49,084,514","22,406",15052
Florida,54,20.1,"21,477,737","31,675,060","3,454,539","12,204,018","16,016,503","240,741","13,870,311","5,281","1,708",5.84,4.535326733,"1,017",30.7,88.4,11.4,"2,846,142",55.1,"898,112,824","9,645",9764
Georgia,49,21.4,"10,617,423","22,439,128","1,869,095","10,044,691","10,525,342","64,875","5,204,520","6,497","2,755",6.70,3.182475035,"1,050",32.5,87.9,12.6,"1,767,145",60.3,"538,160,235","11,228",10114
Hawaii,80,19,"1,415,872","3,124,745","298,818","2,760,298","65,629","71,481",0,"8,350","4,577",5.92,3.925247869,"1,085",33.6,92.4,11.6,"181,278",45.9,"51,229,565","16,132",14254
Idaho,31,22.5,"1,787,065","2,688,260","252,716","1,747,198","688,346","18,178","1,582,960","4,744","1,709",4.95,4.646841263,"1,006",28.7,91.5,9.9,"308,816",38.5,"58,229,678","7,985",8677
Illinois,35,24.3,"12,671,821","37,082,331","2,328,041","15,081,903","19,672,387","97,869","22,217,617","8,056","5,390",10.17,4.666726976,"1,115",35.8,89.8,14.1,"1,956,231",48.9,"671,396,393","16,227",13829
Indiana,29,22.5,"6,732,219","13,132,096","969,031","8,122,602","4,040,463","16,685","10,227,688","5,713","3,096",13.42,3.291448092,"1,074",26.9,89.6,9.7,"1,055,086",48.9,"257,161,413","10,397",11626
Iowa,66,21.6,"3,155,070","7,267,433","501,868","3,836,200","2,929,365","14,183","4,267,083","7,550","2,564",12.98,4.177114319,"1,276",29.3,92.6,9.5,"506,308",42.5,"87,956,335","11,907",13241
Kansas,72,21.2,"2,913,314","6,872,412","578,647","4,412,744","1,881,021","72,516","6,544,122","7,155","2,067",5.48,4.088204261,"1,260",34.0,91.8,12.4,"491,423",46.8,"100,954,682","11,926",11753
Kentucky,100,19.8,"4,467,673","8,703,843","954,442","4,814,076","2,935,325","60,699","6,124,625","6,314","3,423",7.35,3.620369457,"1,247",25.1,87.2,10.3,"677,718",56.8,"231,667,308","11,291",11210
Louisiana,100,18.8,"4,648,794","8,763,547","1,039,755","3,625,907","4,097,885","62,127","3,267,228","6,224","3,226",2.79,3.886166165,"1,197",25.0,86.0,8.9,"710,797",53.5,"341,692,272","11,755",12362
Maine,6,24.3,"1,344,212","3,012,539","184,603","1,172,653","1,655,283","10,114","1,290,934","8,839","3,580",13.73,4.746754906,"1,012",33.2,93.2,12.4,"175,230",44.1,"53,336,040","14,614",16006
Maryland,28,22.3,"6,045,680","16,068,657","907,252","6,836,746","8,324,659","109,200","5,261,242","9,006","3,922",7.69,3.449672251,"1,060",40.9,90.4,19.1,"896,811",46.3,"242,109,435","15,148",13146
Massachusetts,21,25.5,"6,892,503","18,863,906","812,809","7,435,499","10,615,598","31,579","5,592,669","11,069","4,495",18.81,4.260760958,"1,106",45.0,91.3,20.3,"951,400",39.9,"252,965,059","17,748",14529
Michigan,19,24.4,"9,986,857","20,069,650","1,602,579","11,588,161","6,878,910","179,648","18,335,643","6,187","4,105",8.26,3.869633218,"1,004",30.0,91.4,11.9,"1,456,140",50.0,"469,889,071","12,756",13016
Minnesota,95,21.4,"5,639,632","13,442,975","682,398","8,641,915","4,118,662","57,157","12,501,181","8,389","2,871",19.76,4.274638216,"1,295",37.3,93.6,12.7,"888,786",36.4,"166,981,009","13,387",13068
Mississippi,100,18.4,"2,976,149","4,868,831","680,426","2,409,586","1,778,819","37,715","2,012,771","5,439","1,847",7.90,3.493247299,"1,241",22.3,85.3,8.6,"471,298",74.0,"205,451,853","9,284",10240
Missouri,82,20.8,"6,137,428","11,772,175","915,022","4,920,201","5,936,952","64,688","8,046,069","6,831","2,191",8.25,3.719937618,"1,271",30.2,90.7,11.8,"908,255",50.2,"248,761,410","11,200",11756
Montana,100,19.8,"1,068,778","2,024,649","258,170","862,594","903,885","92,173","1,508,222","6,958","2,190",6.35,6.295415565,"1,196",33.6,94.2,10.5,"147,375",39.0,"48,946,461","11,988",14229
Nebraska,100,20,"1,934,408","4,650,340","331,243","1,501,553","2,817,544","56,224","3,288,535","7,475","2,776",9.50,4.048445012,"1,254",33.2,92.0,11.4,"326,081",45.2,"77,333,245","12,743",14385
Nevada,100,17.9,"3,080,156","5,037,245","448,460","3,128,530","1,460,255","18,616","4,080,716","5,526","2,306",4.45,5.195238999,"1,116",25.7,86.9,9.0,"492,353",61.3,"136,383,234","9,344",9185
New Hampshire,14,25,"1,359,711","3,274,238","164,963","1,006,729","2,102,546","3,001","994,234","9,278","4,498",12.32,4.254965351,"1,052",37.6,93.3,14.7,"177,355",27.0,"44,615,611","17,462",16347
New Jersey,25,24.2,"8,882,190","31,772,613","1,299,343","13,546,424","16,926,846","27,049","6,972,734","11,019","6,041",6.12,3.342732377,"1,056",41.2,90.3,16.1,"1,365,233",37.6,"366,131,955","20,512",16543
New Mexico,63,19.3,"2,096,829","3,948,685","511,767","2,646,230","790,688","188,870","2,228,293","5,988","2,113",6.20,6.014429216,"1,118",27.7,85.9,12.2,"333,526",72.3,"129,745,118","10,177",10754
New York,22,24.5,"19,453,561","76,121,163","3,676,654","30,237,428","42,207,081","99,509","30,568,118","13,362","7,082",9.49,4.038806972,"1,051",37.8,87.6,16.6,"2,673,904",53.9,"1,219,497,089","25,139",19697
North Carolina,100,19,"10,488,084","15,202,180","1,582,054","9,383,233","4,236,893","179,889","8,193,308","6,120","2,249",3.81,3.627702805,"1,081",32.3,88.6,11.8,"1,552,472",56.0,"466,200,028","9,857",9367
North Dakota,96,19.9,"762,062","1,869,592","195,994","1,022,271","651,327","67,528","962,033","8,432","3,115",10.86,4.385811586,"1,256",30.4,93.5,8.9,"111,651",30.3,"39,467,137","14,004",14381
Ohio,100,20,"11,689,100","24,599,212","1,695,218","9,678,273","13,225,721","113,673","13,816,363","7,803","3,055",9.80,3.991856442,"1,148",29.3,90.8,11.1,"1,692,789",45.3,"581,146,016","13,538",13051
Oklahoma,100,18.9,"3,956,971","7,016,572","726,889","3,362,476","2,927,207","87,126","2,511,186","5,152","1,780",6.78,4.359725042,"1,047",26.2,88.4,9.1,"698,683",60.3,"190,662,321","9,323",9250
Oregon,42,21.1,"4,217,737","8,869,869","602,521","4,597,482","3,669,866","15,995","9,463,532","6,443","3,719",9.54,5.304943479,"1,108",34.5,91.4,13.5,"551,871",48.9,"145,183,974","12,450",11905
Pennsylvania,17,23.6,"12,801,989","33,265,714","2,151,723","12,608,197","18,505,794","167,991","24,495,367","8,447","5,485",15.50,3.185802626,"1,071",32.3,91.0,12.8,"1,709,334",50.9,"630,162,367","16,864",16122
Rhode Island,12,24.7,"1,059,361","2,551,169","182,269","1,040,683","1,328,217","3,932","960,306","9,786","4,631",12.49,4.689070325,"1,063",34.8,89.3,13.9,"141,742",47.4,"54,762,133","16,750",15320
South Carolina,78,18.8,"5,148,714","10,451,501","852,042","4,918,909","4,680,550","2,879","9,385,784","6,263","2,589",3.20,4.086818098,"1,064",29.6,88.3,11.2,"780,529",62.0,"255,374,106","11,140",11564
South Dakota,75,21.6,"884,659","1,691,880","231,187","576,443","884,250","97,111","1,162,364","6,132","1,780",9.76,5.586386863,"1,215",29.7,92.1,9.1,"138,402",36.9,"48,946,461","10,139",11430
Tennessee,100,19.4,"6,829,174","10,800,722","1,176,191","4,978,985","4,645,546","57,235","6,456,303","5,841","1,963",3.72,3.855519348,"1,227",28.7,88.0,10.7,"1,006,267",58.8,"308,798,568","9,868",9694
Texas,39,20.5,"28,995,881","65,950,489","6,858,271","21,341,562","37,750,656","581,659","92,369,671","6,660","1,196",6.09,3.614661795,"1,020",30.8,84.6,10.8,"5,430,433",60.6,"1,512,297,549","9,827",8619
Utah,100,20.3,"3,205,958","5,837,778","414,931","2,992,614","2,430,233","73,327","3,567,732","4,604","2,140",3.17,3.839603996,"1,238",34.8,93.0,11.3,"674,355",32.9,"81,618,825","8,014",7635
Vermont,20,24.1,"623,989","1,906,283","113,807","1,730,999","61,477","7,273","333,750","11,263","5,168",27.72,5.465448491,"1,113",38.7,93.1,16.0,"83,642",36.4,"36,919,566","20,315",20540
Virginia,21,24,"8,535,519","17,606,867","1,169,845","7,074,761","9,362,261","144,212","7,541,504","7,769","3,208",8.39,3.645123485,"1,102",39.6,90.0,17.2,"1,282,643",44.4,"279,165,926","12,641",10530
Washington,24,22.1,"7,614,893","19,369,526","1,066,984","13,397,370","4,905,172","190,631","15,066,488","8,656","3,291",5.11,5.180724175,"1,075",37.0,91.7,14.2,"1,118,916",43.0,"256,762,096","14,223",11125
West Virginia,49,20.8,"1,792,147","3,540,869","402,311","1,958,332","1,180,226","16,712","318,895","6,567","3,392",4.94,4.419896883,"1,086",21.1,87.1,8.4,"267,968",50.4,"101,308,995","12,010",12915
Wisconsin,100,20.3,"5,822,434","12,393,896","820,330","6,823,763","4,749,803","50,918","7,715,780","6,908","3,053",16.18,4.231806383,"1,291",31.3,92.8,10.7,"858,766",39.5,"207,562,925","12,598",12558
Wyoming,100,19.8,"578,759","1,795,211","132,060","964,553","698,598","28,140","49,650","9,415","4,234",6.63,5.400402884,"1,230",29.1,94.5,10.4,"94,236",36.4,"38,595,898","16,304",18090
Source Dataset,ACT testing info,,https://data.ers.usda.gov/reports.aspx?ID=17827,2019 Public Elementary-Secondary Education Finance Data US Census Bureau,https://www.census.gov/data/tables/2019/econ/school-finances/secondary-education-finance.html?fbclid=IwAR081lIHkDsSrEXHCr4-_HDEolVc-4rG4yQHlFPUaPeJf-kDTUA5gBD_vQc,,Enrollment,https://www.census.gov/data/tables/2019/demo/school-enrollment/2019-cps.html?fbclid=IwAR0rU_Mhg9THmN_4stdK5lbGhfoByknWHk5oCifqvUu9x8-4yNDfJCsejTE,,,,High percentages are associated with positive outcomes and low percentages are associated with poorer outcomes,,SAT Scores,https://fred.stlouisfed.org/release/tables?rid=330&eid=391444,https://fred.stlouisfed.org/release/tables?rid=330&eid=394766,https://fred.stlouisfed.org/release/tables?rid=330&eid=398089,https://nces.ed.gov/programs/digest/d20/tables/dt20_204.10.asp?current.asp,,https://www2.ed.gov/about/overview/budget/statetables/index.html,https://www.census.gov/data/tables/2019/econ/school-finances/secondary-education-finance.html,https://www.edweek.org/policy-politics/map-how-much-money-each-state-spends-per-student/2019/06